Venue,Capacity,Basketballteam(s),Location,Country,Image
Bilbao Arena,10014,Bilbao Basket,Bilbao,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Bilbao_Arena_Goitik.jpg/150px-Bilbao_Arena_Goitik.jpg
BTarena,10000,U-BT Cluj-Napoca,Cluj-Napoca,Romania,
EagleBank Arena,10000,George Mason Patriots men's basketball,Fairfax,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Patriot_Center_2011.jpg/150px-Patriot_Center_2011.jpg
PhilSports Arena,10000,PBA Teams,Pasig,Philippines,
Siemens Arena,10000,BC Lietuvos rytas,Vilnius,Lithuania,
Strahan Arena,10000,Texas State Bobcats men's and women's basketball,San Marcos,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/StrahanColiseumINTERIOR.JPG/150px-StrahanColiseumINTERIOR.JPG
Gill Coliseum,9604,"Oregon State Beavers men's basketball, Oregon State Beavers women's basketball",Corvallis,United States,
Cameron Indoor Stadium,9314,"Duke Blue Devils men's basketball, Duke Blue Devils women's basketball",Durham,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Cameron2018214.jpeg/150px-Cameron2018214.jpeg
Vector Arena,9300,New Zealand Breakers,Auckland,New Zealand,
Eblen Center,9280,Tennessee Tech Golden Eagles men's basketball,Cookeville,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Eblen_Center_2020_graduation.jpg/150px-Eblen_Center_2020_graduation.jpg
Joyce Center,9149,Notre Dame Fighting Irish men's basketball,Notre Dame,United States,
Neville Arena,9121,Auburn Tigers men's and women's basketball,Auburn,United States,
Hinkle Fieldhouse,9100,"Butler Bulldogs men's basketball, Butler Bulldogs women's basketball",Indianapolis,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Hinkle_panorama_inside.JPG/150px-Hinkle_panorama_inside.JPG
Humphrey Coliseum,9100,Mississippi State Bulldogs men's and women's basketball,Mississippi State,United States,
Krešimir Ćosić Hall,9000,KK Zadar,Zadar,Croatia,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Dvorana_Kre%C5%A1imira_%C4%86osi%C4%87a_Zadar.jpg/150px-Dvorana_Kre%C5%A1imira_%C4%86osi%C4%87a_Zadar.jpg
George Gervin GameAbove Center,8824,Eastern Michigan Eagles men's basketball,Ypsilanti,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/East_mich_convocation_pic.jpg/150px-East_mich_convocation_pic.jpg
The Palestra,8725,Penn Quakers,Philadelphia,United States,
CFSB Center,8602,Murray State Racers men's and women's basketball,Murray,United States,
PAOK Sports Arena,8500,PAOK BC,Thessaloniki,Greece,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Aussenansicht_der_PAOK_Sports_Arena.jpg/150px-Aussenansicht_der_PAOK_Sports_Arena.jpg
Atlantic Union Bank Center,8500,James Madison Dukes men's and women's basketball,Harrisonburg,United States,
UCCU Center,8500,Utah Valley Wolverines men's basketball,Orem,United States,
Chartway Arena,8472,Old Dominion Monarchs men's basketball,Norfolk,United States,
Ano Liosia Olympic Hall,8327,AEK B.C.,Athens,Greece,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/ANO_LIOSIA_OLYMPIC_HALL.jpg/150px-ANO_LIOSIA_OLYMPIC_HALL.jpg
Banterra Center,8284,Southern Illinois Salukis men's basketball,Carbondale,United States,
Lloyd E. Scott Gymnasium,8228,Seymour Owls,Seymour,United States,
Aleksandar Nikolić Hall,8150,"KK Crvena zvezda
KK Partizan",Belgrade,Serbia,
Hokkai Kitayell,8128,Levanga Hokkaido,Sapporo,Japan,
Moby Arena,8083,Colorado State Rams men's basketball,Fort Collins,United States,
John A. Baratto Athletic Center,8054,East Chicago Central Cardinals,East Chicago,United States,
Adelaide Arena,8000,"Adelaide 36ers, Adelaide Lightning",Adelaide,Australia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Brett_Maher_Court_023.jpg/150px-Brett_Maher_Court_023.jpg
Nouhad Nawfal Stadium,8000,Tadamon Zouk,Zouk Mikael,Lebanon,
Calihan Hall,7917,Detroit Mercy Titans men's basketball,Detroit,United States,
New Castle Fieldhouse,7829,New Castle Trojans,New Castle,United States,
Ramsey Center,7826,Western Carolina Catamounts men's and women's basketball,Cullowhee,United States,
Tiernan Center,7786,Richmond Red Devils,Richmond,United States,
Bert Ogden Arena,7770,Rio Grande Valley Vipers,Edinburg,United States,
Siegel Center,7637,VCU Rams,Richmond,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/VCU_Stuart_C._Siegel_Center_by_Jeff_Auth.jpg/150px-VCU_Stuart_C._Siegel_Center_by_Jeff_Auth.jpg
Muncie Fieldhouse,7635,Muncie Central Bearcats,Muncie,United States,
Bill Green Athletic Arena,7560,Marion Giants,Marion,United States,
Copper Box,7500,London Lions,London,Great Britain,
Fredrick C. Hobdy Assembly Center,7500,Grambling State Tigers men's basketball,Grambling,United States,
Pride Roofing University Center,7500,"Southeastern Louisiana Lions basketball, Southeastern Louisiana Lady Lions basketball",Hammond,United States,
Maples Pavilion,7392,Stanford Cardinal men's basketball,Stanford,United States,
Show Me Center,7373,Southeast Missouri State Redhawks men's basketball,Cape Girardeau,United States,
Savage Arena,7300,Toledo Rockets men's and women's basketball,Toledo,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Savage_Arena_2.JPG/150px-Savage_Arena_2.JPG
Istora Gelora Bung Karno,7166,-,Jakarta,Indonesia,
Fant–Ewing Coliseum,7085,Louisiana–Monroe Warhawks men's and women's basketball,Monroe,United States,
Global Credit Union Arena,7000,Grand Canyon Antelopes men's and women's basketball,Phoenix,United States,
Allianz Dome,6943,Pallacanestro Trieste,Trieste,Italy,
Eleftheria Indoor Hall,6800,"Omonia, ETHA",Nicosia,Cyprus,
Knapp Center,6424,Drake Bulldogs men's basketball,Des Moines,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Knapp_Center_fall_22.jpg/150px-Knapp_Center_fall_22.jpg
Halenbeck Hall,6400,St. Cloud State men's and women's basketball,St. Cloud,United States,
Memorial Athletic and Convocation Center,6327,Kent State Golden Flashes men's and women's basketball,Kent,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/MAC_Center_panorama_2015.jpg/150px-MAC_Center_panorama_2015.jpg
Spyros Kyprianou Athletic Center,6255,-,Limassol,Cyprus,
Alex G. Spanos Center,6150,Pacific Tigers men's and women's basketball,Stockton,United States,
Bernard Johnson Coliseum,6110,Sam Houston Bearkats men's and women's basketball,Huntsville,United States,
Arena Burgas,6100,BC Chernomorets,Burgas,Bulgaria,
Reese Court,6000,Eastern Washington Eagles men's basketball,Cheney,United States,
Trojan Arena,6000,Troy Trojans men's and women's basketball,Troy,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Trojan_Arena_Troy_9.jpg/150px-Trojan_Arena_Troy_9.jpg
WIN Entertainment Centre,6000,Illawarra Hawks,Wollongong,Australia,
UNF Arena,5800,North Florida Ospreys men's and women's basketball,Jacksonville,United States,
Jack Stephens Center,5600,Little Rock Trojans men's basketball,Little Rock,United States,
Astroballe,5556,ASVEL Basket,Villeurbanne,France,
Farris Center,5500,Central Arkansas Bears basketball,Conway,United States,
Holon Toto Hall,5500,Hapoel Holon,Holon,Israel,
Hytche Athletic Center,5500,Maryland Eastern Shore Hawks men's and women's basketball,Princess Anne,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Hytche_Center_Interior.jpg/150px-Hytche_Center_Interior.jpg
James A. Rhodes Arena,5500,Akron Zips men's and women's basketball,Akron,United States,
Scheels Center,5460,North Dakota State Bison men's basketball,Fargo,United States,
Lantz Arena,5400,Eastern Illinois Panthers men's and women's basketball,Charleston,United States,
