Venue,Capacity,Basketballteam(s),Location,Country,Image,LatLong
Pete Maravich Assembly Center,13215,LSU Tigers men's and women's basketball,Baton Rouge,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[27.82281, -82.70208]"
Convocation Center,13080,Ohio Bobcats basketball,Athens,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.89037, -77.03196]"
Ülker Sports and Event Hall,13000,Fenerbahçe Men's Basketball and Fenerbahçe Women's Basketball,Istanbul,Turkey,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Fenerbah%C3%A7e_Uluslararas%C4%B1_Spor_Kompleksi_%C3%9Clker_Spor_Arena_20170902_%284%29.jpg/150px-Fenerbah%C3%A7e_Uluslararas%C4%B1_Spor_Kompleksi_%C3%9Clker_Spor_Arena_20170902_%284%29.jpg,"[37.10985, 40.41642]"
Reed Arena,12989,Texas A&M Aggies men's and women's basketball,College Station,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/ReedArenaINTERIOR.JPG/150px-ReedArenaINTERIOR.JPG,"[43.16162, -89.91256]"
Crisler Center,12707,University of Michigan men's and women's basketball,Ann Arbor,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[41.36064, -72.10668]"
ExtraMile Arena,12644,Boise State Broncos men's and women's basketball,Boise,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[43.16162, -89.91256]"
Donald L. Tucker Civic Center,12500,"Florida State Seminoles men's basketball, Florida State Seminoles women's basketball",Tallahassee,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[39.73526, -104.99058]"
Budapest Arena,12500,Hungary national basketball team,Budapest,Hungary,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[47.5116, 19.05706]"
Palau Municipal d'Esports de Badalona,12500,Club Joventut Badalona,Badalona,Spain,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[42.01481, 2.03149]"
Pan American Center,12482,New Mexico State Aggies men's and women's basketball,Las Cruces,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.17089, -122.2467]"
Arena Stožice,12480,Union Olimpija,Ljubljana,Slovenia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[46.0873, 14.51813]"
Viejas Arena,12414,San Diego State Aztecs men's basketballSan Diego State Aztecs women's basketball,San Diego,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/20180303-073Crowd%285X8%29.jpg/150px-20180303-073Crowd%285X8%29.jpg,"[43.16162, -89.91256]"
Amica Mutual Pavilion,12410,Providence Friars men's basketball,Providence,United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[42.87516, -78.02306]"
Matthew Knight Arena,12364,Oregon Ducks men's and women's basketball,"Eugene, Oregon",United States,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[35.11822, -80.72025]"
Mediolanum Forum,12331,Pallacanestro Olimpia Milano,Milan,Italy,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[38.89037, -77.03196]"
Abdi İpekçi Arena,12270,"Anadolu Efes S.K., Galatasaray S.K. men's  and women's basketball team",Istanbul,Turkey,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/No-image-available.png/480px-No-image-available.png,"[40.78195, 29.41571]"
